id;denominacion;codigo;domicilio;localidad;municipio;provincia;codigo_postal
1;payment SDR SAS;Jefe Mejorado;Savings bandwidth firewall;Moda;primary Berkshire;Morado Pantalones up;79310
2;Coche;application synthesizing;invoice Suecia EXE;Fantástico Queso communities;Borders Respuesta Ladrillo;digital Uzbekistan;82348
3;facilitate;Fantástico Sopa Pelota;Hungria Egyptian Cantabria;Diseñador connecting array;compress;overriding Salud;77758
4;Avon Planificador;Comunicaciones Silla;AI Cliente Blanco;Gestionado EXE Cambridgeshire;Franc Rústico;Sabroso;64651
5;Sopa;Automatizado;synthesize state dot-com;Actualizable;Agente protocol microchip;Corporativo Horizontal Gerente;81055
6;feed Parafarmacia Lesotho;Sección;bandwidth deposit;Electrónica;proactive;models;57249
7;haptic;Interacciones technologies focus;Pelota al;Artesanal Corea infrastructures;Marca Masía Norwegian;Humano;57646
8;India;Ordenador;Regional invoice redefine;International Bedfordshire hack;strategic;invoice Hormigon;41968
9;Aragón compressing;deliverables Principado;holística sinergia;Madrid División;Negro JBOD;plug-and-play Comunidad;30756
10;Buckinghamshire;Sopa Home;Coche;Pequeño Mesa Mobilidad;interface compressing Navarra;Dollar;8878
